CATEGORY,Column1,MRP,INVOICE RATE,SCHEME,AFTER SCHEME DEDCTION RATE,SEMI WS RATE5 (2%),RETAIL RATE(3%),RATE (5%)
ATTA,A40 Parle G ATTA 5kg X 6 BAG,265,1348.84,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,A51 Parle G Atta 10kg X 3 BAG,490,1309.39,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BISCUITS,BF269 Fab Bourbon 20g(30+4p) X 12 j,150,1517.6,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BF422 Fab Jam In Cream  55g X 72p,10,607.05,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BF425 Fab Jam In Cream SB 55g X 72p,10,607.05,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BF443 Fab Jam In Cream BC 55g X 72p,10,607.05,1,607.05,619.191,625.2615,637.4025
,BF582 20-20 Nice 68.75g X 80p,10,686.75,1,686.75,700.485,707.3525,721.0875
,BF839 Happy Happy 30+5g(24PKT) X 144p,5,607.05,1,607.05,619.191,625.2615,637.4025
,BF866 Fab Jam In Cream 150g X 30p,35,885.27,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BF867 Fab Jam In Cream SB 150g X 30p,35,885.27,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BF868 Fab Jam In Cream BC 150g X 30p,35,885.27,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BF951 20-20 Gold Cshw Almnd 52.5gX60P,10,505.86,1,505.86,515.9772,521.0358,531.153
,BG.912 Monaco Cheesling 3.5 KG,1000,843.12,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,BG121 20-20 Gold ChChips 43.75+6.25gX72P,10,607.05,1,607.05,619.191,625.2615,637.4025
,BG407 20-20 Gold Cashew Almond 1K X 6p,250,1264.68,1,1264.68,1289.9736,1302.6204,1327.914
,BG491 Top Crackers 58.8g + 14.7g X 48p,10,404.7,1.05,385.4285714,393.1371429,396.9914286,404.7
,BG575 Krackjack 700g X 7p,120,708.22,1,708.22,722.3844,729.4666,743.631
,BG576 Monaco 700g X 7p,120,708.22,1,708.22,722.3844,729.4666,743.631
,BG605 Nimkin 32.4g X 144 p,5,607.05,1,607.05,619.191,625.2615,637.4025
,BG607 Nimkin 64.8g X 42p,10,354.11,1,354.11,361.1922,364.7333,371.8155
